Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_9,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:22:57 -0400,
Total Frames In Take,1605,
Total Exported Frames,25680,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
4,0.033333,64,-0.005639,-0.015494,0.016372,0.021956,0.000931,-0.002025,-0.030935,0.033783,0.009801,0.026556
4,0.033333,65,0.000274,-0.010895,0.011772,0.022285,0.003231,-0.002682,-0.027978,0.028527,0.010787,0.015386
4,0.033333,66,-0.001697,-0.010567,0.020314,0.019657,0.002902,-0.000054,-0.028307,0.030169,0.009473,0.004217
4,0.033333,67,-0.005639,-0.013195,0.017029,0.019000,0.002574,-0.001368,-0.026335,0.030169,0.002902,0.005531
4,0.033333,68,-0.002682,-0.020751,0.019657,0.017357,0.005202,-0.001040,-0.022065,0.029512,-0.001040,0.002245
4,0.033333,69,-0.005639,-0.020751,0.018671,0.019657,0.007502,-0.001368,-0.030278,0.035754,0.016372,0.013744
4,0.033333,70,-0.003339,-0.022393,0.025899,0.019328,0.009801,-0.009253,-0.027650,0.028527,-0.003011,0.030826
4,0.033333,71,-0.002025,-0.019437,0.019328,0.022942,0.008159,-0.012866,-0.029292,0.026227,0.003888,-0.004653
4,0.033333,72,-0.006624,-0.017466,0.018671,0.020642,0.009144,-0.016480,-0.028964,0.023928,0.019985,0.012429
4,0.033333,73,-0.008267,-0.019437,0.017686,0.021956,0.008487,-0.022393,-0.023707,0.020314,0.024256,0.003231
4,0.033333,74,-0.010567,-0.012866,0.018343,0.019328,0.011772,-0.016808,-0.027650,0.024585,0.012101,0.017686
4,0.033333,75,-0.003996,-0.017794,0.024256,0.019000,0.011444,-0.012538,-0.030935,0.019985,0.009144,0.049880
4,0.033333,76,-0.000711,-0.013852,0.018671,0.017029,0.014072,-0.011881,-0.028964,0.021956,0.017357,0.010458
4,0.033333,77,0.001588,-0.011552,0.021956,0.015058,0.004545,-0.004982,-0.029292,0.021956,0.019000,0.022613
4,0.033333,78,0.000931,-0.007282,0.023599,0.017029,0.010130,-0.010238,-0.029621,0.021956,0.033126,0.043638
4,0.033333,79,-0.000383,0.002902,0.021628,0.021628,0.010130,-0.005639,-0.027321,0.028198,0.055137,0.044296
5,0.041667,80,0.001917,-0.005310,0.019657,0.026556,0.012429,-0.002682,-0.028635,0.024256,0.027213,0.042981
5,0.041667,81,0.000274,-0.004325,0.018343,0.018014,0.008816,-0.000054,-0.030606,0.024913,0.036740,0.050209
5,0.041667,82,0.000274,-0.004982,0.019000,0.018343,0.013744,0.002902,-0.042761,0.023270,0.039368,0.048238
5,0.041667,83,0.001917,-0.003996,0.019328,0.017686,0.013744,0.004545,-0.031592,0.029184,0.041667,0.055794
5,0.041667,84,0.004874,-0.004653,0.019657,0.016700,0.012429,0.004217,-0.030278,0.021956,0.033454,0.054151
5,0.041667,85,0.001917,-0.008596,0.015715,0.025899,0.006516,0.003560,-0.030606,0.020642,0.044296,0.060064
5,0.041667,86,0.002902,-0.007939,0.020314,0.018343,0.003231,0.012758,-0.033891,0.019000,0.031483,0.059407
5,0.041667,87,0.001260,-0.005310,0.020314,0.022942,0.010130,0.012429,-0.037834,0.021299,0.030169,0.055794
5,0.041667,88,-0.001368,-0.000054,0.018343,0.020314,0.010787,0.006845,-0.030278,0.024913,0.039368,0.046595
5,0.041667,89,-0.000383,-0.009253,0.024585,0.021299,0.009801,0.009473,-0.030278,0.022285,0.054808,0.033783
5,0.041667,90,-0.000054,-0.005639,0.016700,0.022285,0.008487,0.005531,-0.029292,0.023599,0.034112,0.053165
5,0.041667,91,0.002245,-0.006953,0.020971,0.023270,0.015715,-0.007282,-0.026993,0.021628,0.023599,0.043310
5,0.041667,92,0.008816,-0.005967,0.020971,0.022613,0.012429,0.005531,-0.029621,0.022613,0.014401,0.038054
5,0.041667,93,-0.000383,0.000274,0.019985,0.022942,0.016700,0.006188,-0.029621,0.022942,0.007173,0.031812
5,0.041667,94,0.001588,-0.005639,0.019000,0.024256,0.018014,0.012758,-0.032249,0.018014,0.055794,0.024913
5,0.041667,95,-0.000054,-0.004653,0.019000,0.027541,0.011115,0.013744,-0.032577,0.019985,0.012429,0.024913
6,0.050000,96,0.000274,-0.003011,0.014729,0.023928,0.024256,0.013415,-0.031920,0.019985,0.026227,0.016043
6,0.050000,97,0.002902,-0.003996,0.016372,0.026556,0.019000,0.007830,-0.028964,0.024256,-0.007282,0.007173
6,0.050000,98,0.001260,-0.014837,0.017686,0.026227,0.019985,0.005202,-0.030278,0.018343,-0.016151,0.003560
6,0.050000,99,-0.001040,-0.002354,0.021628,0.024256,0.014401,0.000931,-0.030606,0.023599,-0.003011,-0.009253
6,0.050000,100,-0.000054,-0.007282,0.019985,0.028527,0.008487,-0.001040,-0.031263,0.020642,-0.006953,-0.002682
6,0.050000,101,-0.000054,-0.006953,0.019000,0.024913,0.006516,-0.005310,-0.026335,0.021299,-0.009253,-0.007939
6,0.050000,102,-0.010895,-0.006296,0.017029,0.028527,0.011444,-0.003996,-0.032249,0.024585,0.006188,0.000274
6,0.050000,103,0.001260,-0.004982,0.012101,0.030169,0.011772,-0.002682,-0.028964,0.024585,-0.002682,-0.002025
6,0.050000,104,-0.003668,-0.010238,0.022613,0.033783,0.009144,-0.002354,-0.031263,0.025242,0.014729,-0.014509
6,0.050000,105,-0.003011,-0.010238,0.015058,0.029841,0.009473,0.000931,-0.031592,0.022613,0.011772,0.018014
6,0.050000,106,-0.000711,-0.012866,0.016700,0.026556,0.008487,-0.008924,-0.028964,0.021299,0.011444,0.011772
6,0.050000,107,0.003231,-0.016480,0.017357,0.023599,0.006845,-0.004325,-0.027650,0.017029,0.016700,0.002902
6,0.050000,108,0.000603,-0.001040,0.022285,0.020642,0.005202,-0.005310,-0.027321,0.024585,-0.008267,0.017029
6,0.050000,109,0.001917,0.000603,0.019328,0.020314,0.001917,-0.005639,-0.030278,0.021956,0.019000,0.020314
6,0.050000,110,-0.000054,0.001917,0.021299,0.021299,-0.000054,0.000931,-0.030278,0.022285,0.020314,0.030826
6,0.050000,111,-0.003668,0.000274,0.020971,0.021628,0.003560,-0.007282,-0.034877,0.030169,0.042653,0.043638
7,0.058333,112,0.007502,-0.005310,0.022613,0.020971,0.002902,-0.003668,-0.030606,0.015058,0.030498,0.027870
7,0.058333,113,0.000931,-0.002354,0.019328,0.024256,-0.000383,-0.003668,-0.031263,0.021299,0.025570,0.040682
7,0.058333,114,-0.000383,-0.003668,0.021299,0.015386,0.000931,-0.004982,-0.030606,0.020971,0.032797,0.043638
